Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Pittsburgh Penguins,1994,29,16,0.6444444444444445,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1994,19,25,0.4318181818181818,SAP Center,"San Jose, California",17562
St. Louis Blues,1994,28,15,0.6511627906976745,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1994,17,28,0.37777777777777777,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1994,21,19,0.525,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1994,18,18,0.5,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1994,22,18,0.55,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1994,16,25,0.3902439024390244,Canada Life Centre,"Winnipeg, Manitoba",15321
Anaheim Ducks,1995,35,39,0.47297297297297297,Honda Center,"Anaheim, California",17174
Boston Bruins,1995,40,31,0.5633802816901409,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1995,33,42,0.44,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1995,34,37,0.4788732394366197,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1995,40,28,0.5882352941176471,United Center,"Chicago, Illinois",19717
Colorado Avalanche,1995,47,25,0.6527777777777778,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,1995,26,42,0.38235294117647056,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1995,62,13,0.8266666666666667,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1995,30,44,0.40540540540540543,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1995,41,31,0.5694444444444444,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1995,24,40,0.375,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1995,40,32,0.5555555555555556,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1995,37,33,0.5285714285714286,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1995,22,50,0.3055555555555556,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1995,22,50,0.3055555555555556,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1995,41,27,0.6029411764705882,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1995,18,59,0.23376623376623376,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1995,45,24,0.6521739130434783,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1995,49,29,0.6282051282051282,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1995,20,55,0.26666666666666666,SAP Center,"San Jose, California",17562
St. Louis Blues,1995,32,34,0.48484848484848486,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1995,38,32,0.5428571428571428,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1995,34,36,0.4857142857142857,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1995,32,35,0.47761194029850745,Rogers Arena,"Vancouver, British Columbia",18910
